,Tm,Age,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%, ,eFG%,TOV%,ORB%,FT/FGA, ,eFG%,TOV%,DRB%,FT/FGA,Season Year
112,Portland Trail Blazers,25.6,0,4,.000,1,3,106.9,116.0,-9.1,98.7,.173,.354,.539,,.512,12.9,23.9,.135,,.582,13.0,81.1,.203,2018
113,Minnesota Timberwolves,27.6,1,4,.200,1,4,107.0,116.2,-9.2,95.0,.276,.264,.548,,.515,12.0,20.1,.201,,.531,7.9,80.3,.193,2018
114,San Antonio Spurs,30.2,1,4,.200,1,4,103.7,113.1,-9.4,93.3,.274,.337,.515,,.463,10.5,18.5,.229,,.535,12.9,73.7,.205,2018
115,Miami Heat,27.5,1,4,.200,1,4,103.0,113.7,-10.7,100.4,.345,.333,.542,,.507,14.4,20.7,.234,,.514,13.6,70.4,.279,2018
116,Golden State Warriors,28.3,16,1,.941,14,3,119.0,105.5,+13.5,100.3,.292,.378,.608,,.567,12.2,22.4,.238,,.487,12.3,76.6,.212,2017
117,Cleveland Cavaliers,29.3,13,5,.722,13,5,120.3,112.1,+8.2,96.6,.316,.408,.614,,.579,12.1,23.6,.242,,.521,11.9,76.1,.189,2017
118,Houston Rockets,28.1,6,5,.545,6,5,110.7,109.5,+1.2,96.4,.304,.452,.559,,.514,12.7,22.7,.240,,.502,11.1,71.7,.187,2017
119,San Antonio Spurs,29.5,8,8,.500,9,7,113.4,112.3,+1.1,93.2,.277,.282,.551,,.512,11.6,29.1,.214,,.539,13.1,78.5,.208,2017
120,Washington Wizards,26.1,7,6,.538,7,6,110.9,110.9,0.0,96.7,.281,.302,.549,,.505,12.3,26.6,.223,,.525,13.3,76.2,.244,2017
121,Milwaukee Bucks,25.0,2,4,.333,3,3,103.0,103.7,-0.7,90.5,.267,.277,.533,,.503,13.2,19.1,.186,,.494,14.4,80.6,.279,2017
122,Atlanta Hawks,27.2,2,4,.333,3,3,107.3,108.5,-1.2,98.4,.343,.323,.542,,.493,14.1,26.4,.262,,.502,11.8,77.3,.227,2017
123,Los Angeles Clippers,30.9,3,4,.429,3,4,108.8,110.0,-1.2,89.8,.312,.304,.558,,.526,12.2,19.9,.217,,.542,12.4,82.1,.223,2017
124,Boston Celtics,25.9,9,9,.500,7,11,111.4,114.5,-3.1,93.9,.242,.410,.566,,.532,12.6,22.2,.187,,.531,13.1,71.5,.227,2017
125,Indiana Pacers,26.4,0,4,.000,2,2,114.7,118.9,-4.2,94.8,.247,.330,.564,,.530,12.1,28.3,.190,,.565,11.9,75.2,.233,2017
126,Utah Jazz,27.8,4,7,.364,4,7,106.2,111.3,-5.1,92.1,.298,.331,.552,,.515,12.0,16.7,.218,,.533,11.4,81.3,.224,2017
127,Toronto Raptors,26.9,4,6,.400,3,7,103.8,109.9,-6.1,93.1,.283,.296,.541,,.493,12.6,17.3,.230,,.539,13.2,81.3,.222,2017
128,Chicago Bulls,26.6,2,4,.333,2,4,104.8,112.2,-7.4,92.1,.240,.285,.529,,.483,14.4,29.6,.204,,.534,11.8,78.5,.163,2017
129,Oklahoma City Thunder,25.3,1,4,.200,1,4,105.7,114.4,-8.7,98.6,.309,.309,.525,,.490,11.4,26.0,.213,,.513,13.1,74.8,.320,2017
130,Memphis Grizzlies,29.7,2,4,.333,1,5,110.3,119.8,-9.5,85.8,.263,.313,.559,,.510,11.6,20.3,.229,,.545,11.4,73.9,.266,2017
131,Portland Trail Blazers,24.8,0,4,.000,0,4,99.3,116.9,-17.6,102.3,.271,.380,.507,,.458,13.2,20.6,.218,,.556,11.1,81.0,.258,2017
132,San Antonio Spurs,30.7,6,4,.600,8,2,111.0,101.1,+9.9,91.9,.248,.232,.557,,.519,11.2,20.3,.199,,.467,14.2,71.7,.208,2016
133,Cleveland Cavaliers,28.0,16,5,.762,16,5,115.5,106.0,+9.5,90.7,.267,.370,.573,,.544,12.0,26.8,.193,,.510,12.8,79.0,.189,2016
134,Oklahoma City Thunder,25.6,11,7,.611,12,6,111.8,106.2,+5.6,95.2,.326,.295,.551,,.501,12.6,29.6,.256,,.499,11.5,78.7,.191,2016
135,Golden State Warriors,27.4,15,9,.625,15,9,110.5,106.1,+4.4,97.0,.272,.379,.562,,.529,12.7,23.9,.200,,.481,13.1,72.4,.226,2016
